#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
15	108276	1956	-	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	9606	Homo sapiens	antagonist	target	Viloria-Petit A (2001)	11431346	171748	2	Cetuximab	Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer|Ctuximab|Cetuximab|Cetuximabum	erbitux	DRUGBANK	DB00002	C6484H10042N1732O2023S36	biologic	L01XC06	205923-56-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
16	108276	1956	-	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	9606	Homo sapiens	antagonist	target	Chen X (2002)	11752352	171740	2	Cetuximab	Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer|Ctuximab|Cetuximab|Cetuximabum	erbitux	DRUGBANK	DB00002	C6484H10042N1732O2023S36	biologic	L01XC06	205923-56-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
17	108276	1956	-	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	9606	Homo sapiens	antagonist	target	Hosokawa N (1999)	10480573	171746	2	Cetuximab	Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer|Ctuximab|Cetuximab|Cetuximabum	erbitux	DRUGBANK	DB00002	C6484H10042N1732O2023S36	biologic	L01XC06	205923-56-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
18	108276	1956	-	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	9606	Homo sapiens	antagonist	target	Wakita H (1999)	10601294	171747	2	Cetuximab	Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer|Ctuximab|Cetuximab|Cetuximabum	erbitux	DRUGBANK	DB00002	C6484H10042N1732O2023S36	biologic	L01XC06	205923-56-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
19	108276	1956	-	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	9606	Homo sapiens	antagonist	target	Suwa T (2000)	10628369	171745	2	Cetuximab	Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer|Ctuximab|Cetuximab|Cetuximabum	erbitux	DRUGBANK	DB00002	C6484H10042N1732O2023S36	biologic	L01XC06	205923-56-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
20	108276	1956	-	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	9606	Homo sapiens	antagonist	target	Burke P (2001)	11408594	141935	2	Cetuximab	Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer|Ctuximab|Cetuximab|Cetuximabum	erbitux	DRUGBANK	DB00002	C6484H10042N1732O2023S36	biologic	L01XC06	205923-56-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
109	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Melandri G (2009)	19436656	171787	9	Alteplase	t-plasminogen activator|t-PA|tPA|Tissue-type plasminogen activator precursor	activase rt-pa|lysatec rt - pa	DRUGBANK	DB00009	C2569H3928N746O781S40	biologic	B01AD02|S01XA13	105857-23-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
110	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Longstaff C (2008)	18673235	171788	9	Alteplase	t-plasminogen activator|t-PA|tPA|Tissue-type plasminogen activator precursor	activase rt-pa|lysatec rt - pa	DRUGBANK	DB00009	C2569H3928N746O781S40	biologic	B01AD02|S01XA13	105857-23-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
111	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Hilleman DE (2007)	17963464	171789	9	Alteplase	t-plasminogen activator|t-PA|tPA|Tissue-type plasminogen activator precursor	activase rt-pa|lysatec rt - pa	DRUGBANK	DB00009	C2569H3928N746O781S40	biologic	B01AD02|S01XA13	105857-23-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
183	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Melandri G (2009)	19436656	171787	15	Reteplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	retavase	DRUGBANK	DB00015	C1736H2671N499O522S22	biologic	B01AD07	133652-38-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
184	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Longstaff C (2008)	18673235	171788	15	Reteplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	retavase	DRUGBANK	DB00015	C1736H2671N499O522S22	biologic	B01AD07	133652-38-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
185	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Hilleman DE (2007)	17963464	171789	15	Reteplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	retavase	DRUGBANK	DB00015	C1736H2671N499O522S22	biologic	B01AD07	133652-38-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
192	107250	799	-	CALCR	CRT|CT-R|CTR|CTR1	9606	Homo sapiens	agonist	target	Chen X (2002)	11752352	171740	17	Salmon Calcitonin	Calcitonin, salmon|Calcitonin (Salmon Synthetic)|Fortical|Salmon calcitonin|Calcimar|Salmotonin|Cibacalcin|Miacalcin|Calcitonin salmon recombinant|Calcitonin 1 precursor|Calcitonin Salmon|Calcitonin-salmon|recombinant salmon calcitonin	caltine inj 100 unit/ml (1ml a	DRUGBANK	DB00017	C145H240N44O48S2	biologic	H05BA01	47931-85-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
193	107250	799	-	CALCR	CRT|CT-R|CTR|CTR1	9606	Homo sapiens	agonist	target	Sarkar A (1997)	9231703	171830	17	Salmon Calcitonin	Calcitonin, salmon|Calcitonin (Salmon Synthetic)|Fortical|Salmon calcitonin|Calcimar|Salmotonin|Cibacalcin|Miacalcin|Calcitonin salmon recombinant|Calcitonin 1 precursor|Calcitonin Salmon|Calcitonin-salmon|recombinant salmon calcitonin	caltine inj 100 unit/ml (1ml a	DRUGBANK	DB00017	C145H240N44O48S2	biologic	H05BA01	47931-85-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
194	107250	799	-	CALCR	CRT|CT-R|CTR|CTR1	9606	Homo sapiens	agonist	target	Stroop SD (1995)	7610922	171831	17	Salmon Calcitonin	Calcitonin, salmon|Calcitonin (Salmon Synthetic)|Fortical|Salmon calcitonin|Calcimar|Salmotonin|Cibacalcin|Miacalcin|Calcitonin salmon recombinant|Calcitonin 1 precursor|Calcitonin Salmon|Calcitonin-salmon|recombinant salmon calcitonin	caltine inj 100 unit/ml (1ml a	DRUGBANK	DB00017	C145H240N44O48S2	biologic	H05BA01	47931-85-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
195	107250	799	-	CALCR	CRT|CT-R|CTR|CTR1	9606	Homo sapiens	agonist	target	Bouizar Z (1986)	3004987	171832	17	Salmon Calcitonin	Calcitonin, salmon|Calcitonin (Salmon Synthetic)|Fortical|Salmon calcitonin|Calcimar|Salmotonin|Cibacalcin|Miacalcin|Calcitonin salmon recombinant|Calcitonin 1 precursor|Calcitonin Salmon|Calcitonin-salmon|recombinant salmon calcitonin	caltine inj 100 unit/ml (1ml a	DRUGBANK	DB00017	C145H240N44O48S2	biologic	H05BA01	47931-85-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
343	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Imming P (2006)	17016423	171742	29	Anistreplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	eminase 30 units	DRUGBANK	DB00029	C2569H3928N746O781S40	biologic	B01AD03	81669-57-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
344	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	29	Anistreplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	eminase 30 units	DRUGBANK	DB00029	C2569H3928N746O781S40	biologic	B01AD03	81669-57-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
358	109711	3490	-	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	9606	Homo sapiens	unknown	target	Imming P (2006)	17016423	171742	30	Insulin Human	Insulin human, rDNA origin|Regular Insulin, human|Insulin Human Regular|Insulin human regular (rDNA)|Human insulin|Insulin (human)|Insulin, human|Insulin human|Insulin regular|Insulin recombinant human|human insulin (rDNA)|Insulin human [rDNA origin]|Insulin recombinant purified human|High molecular weight insulin human	humulin r u-500 kwikpen|humuli	DRUGBANK	DB00030	C257H383N65O77S6	biologic	-	11061-68-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
359	109711	3490	-	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	30	Insulin Human	Insulin human, rDNA origin|Regular Insulin, human|Insulin Human Regular|Insulin human regular (rDNA)|Human insulin|Insulin (human)|Insulin, human|Insulin human|Insulin regular|Insulin recombinant human|human insulin (rDNA)|Insulin human [rDNA origin]|Insulin recombinant purified human|High molecular weight insulin human	humulin r u-500 kwikpen|humuli	DRUGBANK	DB00030	C257H383N65O77S6	biologic	-	11061-68-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
362	111860	5925	RP11-174I10.1	RB1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	9606	Homo sapiens	unknown	target	Imming P (2006)	17016423	171742	30	Insulin Human	Insulin human, rDNA origin|Regular Insulin, human|Insulin Human Regular|Insulin human regular (rDNA)|Human insulin|Insulin (human)|Insulin, human|Insulin human|Insulin regular|Insulin recombinant human|human insulin (rDNA)|Insulin human [rDNA origin]|Insulin recombinant purified human|High molecular weight insulin human	humulin r u-500 kwikpen|humuli	DRUGBANK	DB00030	C257H383N65O77S6	biologic	-	11061-68-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
363	111860	5925	RP11-174I10.1	RB1	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	30	Insulin Human	Insulin human, rDNA origin|Regular Insulin, human|Insulin Human Regular|Insulin human regular (rDNA)|Human insulin|Insulin (human)|Insulin, human|Insulin human|Insulin regular|Insulin recombinant human|human insulin (rDNA)|Insulin human [rDNA origin]|Insulin recombinant purified human|High molecular weight insulin human	humulin r u-500 kwikpen|humuli	DRUGBANK	DB00030	C257H383N65O77S6	biologic	-	11061-68-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
